canonical_name,developer,operator,status_current,status_current_date,state,city,lat,long,capacity_mw,capacity_mw_source_confidence,source_url
Aligned Data Centers DFW-02,Aligned Data Centers,Aligned Data Centers,operational,2019-01-01,TX,Plano,33.01984,-96.69889,36,high,https://aligneddc.com/dallas-data-centers/
Aligned Data Centers DFW-03,Aligned Data Centers,Aligned Data Centers,operational,2023-01-01,TX,Mansfield,32.56319,-97.14168,36,low,https://www.datacenters.com/providers/aligned-data-centers/data-center-locations
Aligned Data Centers DFW-04,Aligned Data Centers,Aligned Data Centers,announced,2025-01-01,TX,Plano,33.01984,-96.69889,36,low,https://www.datacenters.com/providers/aligned-data-centers/data-center-locations
Aligned Data Centers IAD-01,Aligned Data Centers,Aligned Data Centers,operational,2019-01-01,VA,Ashburn,39.04372,-77.48749,36,low,https://www.datacenters.com/providers/aligned-data-centers/data-center-locations
Aligned Data Centers IAD-02,Aligned Data Centers,Aligned Data Centers,operational,2020-01-01,VA,Ashburn,39.04372,-77.48749,36,low,https://www.datacenters.com/providers/aligned-data-centers/data-center-locations
Aligned Data Centers IAD-03,Aligned Data Centers,Aligned Data Centers,under_construction,2024-01-01,VA,Sterling,39.00622,-77.4286,36,low,https://www.datacenters.com/providers/aligned-data-centers/data-center-locations
Aligned Data Centers IAD-04,Aligned Data Centers,Aligned Data Centers,under_construction,2025-01-01,MD,Frederick,39.36622,-75.88383,36,medium,https://www.datacenterdynamics.com/en/news/aligned-secures-258bn-credit-facility-to-fund-us-data-center-build-out/
Aligned Data Centers NEO-01,Aligned Data Centers,Aligned Data Centers,announced,2025-01-01,OH,Sandusky,41.35742,-83.14391,36,low,https://www.datacenters.com/providers/aligned-data-centers/data-center-locations
Aligned Data Centers ORD-01,Aligned Data Centers,Aligned Data Centers,operational,2020-01-01,IL,Northlake,41.91725,-87.89562,36,low,https://www.datacenters.com/providers/aligned-data-centers/data-center-locations
Aligned Data Centers ORD-02,Aligned Data Centers,Aligned Data Centers,operational,2021-01-01,IL,Northlake,41.91725,-87.89562,36,low,https://www.datacenters.com/providers/aligned-data-centers/data-center-locations
Aligned Data Centers ORD-03,Aligned Data Centers,Aligned Data Centers,operational,2023-01-01,IL,Elk Grove Village,42.00392,-87.97035,36,low,https://www.datacenters.com/providers/aligned-data-centers/data-center-locations
Aligned Data Centers PDX-01,Aligned Data Centers,Aligned Data Centers,announced,2025-01-01,OR,Hillsboro,45.52289,-122.98983,36,low,https://www.datacenters.com/providers/aligned-data-centers/data-center-locations
Aligned Data Centers PHX-01,Aligned Data Centers,Aligned Data Centers,operational,2019-01-01,AZ,Phoenix,33.44838,-112.07404,30,medium,https://aligneddc.com/phoenix-data-centers/
Aligned Data Centers PHX-02,Aligned Data Centers,Aligned Data Centers,operational,2020-01-01,AZ,Phoenix,33.44838,-112.07404,30,low,https://www.datacenters.com/providers/aligned-data-centers/data-center-locations
Aligned Data Centers PHX-03,Aligned Data Centers,Aligned Data Centers,operational,2021-01-01,AZ,Phoenix,33.44838,-112.07404,30,low,https://www.datacenters.com/providers/aligned-data-centers/data-center-locations
Aligned Data Centers PHX-04,Aligned Data Centers,Aligned Data Centers,operational,2022-01-01,AZ,Phoenix,33.44838,-112.07404,30,low,https://www.datacenters.com/providers/aligned-data-centers/data-center-locations
Aligned Data Centers PHX-05,Aligned Data Centers,Aligned Data Centers,operational,2023-01-01,AZ,Phoenix,33.44838,-112.07404,30,low,https://www.datacenters.com/providers/aligned-data-centers/data-center-locations
Aligned Data Centers PHX-06,Aligned Data Centers,Aligned Data Centers,under_construction,2024-01-01,AZ,Chandler,33.30616,-111.84125,30,low,https://www.datacenters.com/providers/aligned-data-centers/data-center-locations
Aligned Data Centers PHX-07,Aligned Data Centers,Aligned Data Centers,announced,2025-01-01,AZ,Waddell,33.61143,-112.42711,30,low,https://www.datacenters.com/providers/aligned-data-centers/data-center-locations
Aligned Data Centers Project Caprock,Aligned Data Centers,Aligned Data Centers,under_construction,2026-04-01,TX,Hale County,34.07051,-101.82688,540,high,https://www.datacenterdynamics.com/en/news/aligned-breaks-ground-on-540mw-data-center-campus-in-texas/
Aligned Data Centers SLC-01,Aligned Data Centers,Aligned Data Centers,operational,2018-01-01,UT,West Jordan,40.60967,-111.9391,100,high,https://aligneddc.com/blog/aligned-energy-experiencing-rapid-growth-announces-new-100-megawatt-salt-lake-city-data-center/
Aligned Data Centers SLC-02,Aligned Data Centers,Aligned Data Centers,operational,2020-01-01,UT,West Jordan,40.60967,-111.9391,48,medium,https://baxtel.com/data-centers/aligned
Aligned Data Centers SLC-03,Aligned Data Centers,Aligned Data Centers,operational,2022-01-01,UT,West Jordan,40.60967,-111.9391,48,low,https://www.datacenters.com/providers/aligned-data-centers/data-center-locations
Aligned Data Centers SLC-04,Aligned Data Centers,Aligned Data Centers,operational,2023-01-01,UT,West Valley City,40.69161,-112.00105,48,low,https://www.datacenters.com/providers/aligned-data-centers/data-center-locations
Allegheny DC Springdale,Allegheny DC Property Co LLC (Davidson Kempner),,approved,2025-12-16,PA,Springdale,40.5409,-79.78394,180,medium,https://www.datacenterdynamics.com/en/news/cheswick-power-plant-site-in-springdale-pennsylvania-sold-for-143m-for-data-center-development/
Amazon Web Services — Atlanta,Amazon Web Services,Amazon Web Services,under_construction,2025-01-08,GA,Covington,33.59678,-83.86018,,,https://www.costar.com/article/1783539346/amazon-picks-georgia-for-11-billion-investment-in-data-centers
Amazon Web Services — Austin,Amazon Web Services,Amazon Web Services,operational,,TX,Austin,29.88702,-96.27791,,,https://www.mordorintelligence.com/industry-reports/austin-data-center-market
Amazon Web Services — Becker,Amazon Web Services,Amazon Web Services,paused,2025-05-28,MN,Becker,46.93465,-95.67392,383,low,https://www.datacenterdynamics.com/en/news/amazon-web-services-suspends-plans-for-minnesota-data-center/
Amazon Web Services — Boardman,Amazon Data Services,Amazon Web Services,operational,2018-01-01,OR,Boardman,45.83986,-119.70058,50,medium,https://www.datacenter.fyi/project/amazon-5e8646e3
Amazon Web Services — Chantilly,Amazon Web Services,Amazon Web Services,operational,,VA,Chantilly,38.89428,-77.4311,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Columbus,Amazon Web Services,Amazon Web Services,operational,,OH,Columbus,39.96118,-82.99879,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Dallas,Amazon Web Services,Amazon Web Services,operational,,TX,Dallas,32.76663,-96.77787,,,https://www.frasiercole.com/post/texas-data-center-markets-why-dfw-austin-houston-san-antonio-are-leading-the-nation
Amazon Web Services — Dobbins Campus,Amazon Web Services,Amazon Web Services,operational,,AZ,Litchfield Park,33.49337,-112.35794,,,https://baxtel.com/data-center/amazon-dobbins-campus
Amazon Web Services — Dublin,Amazon Web Services,Amazon Web Services,operational,,OH,Dublin,40.09923,-83.11408,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Dulles,Amazon Web Services,Amazon Web Services,operational,,VA,Dulles,39.03761,-77.41582,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — East Palo Alto,Amazon Web Services,Amazon Web Services,operational,,CA,East Palo Alto,37.46883,-122.14108,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Eau Claire,Amazon Web Services,Amazon Web Services,operational,,WI,Eau Claire,44.72677,-91.286,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Elkhorn,Amazon Web Services,Amazon Web Services,operational,,NE,Elkhorn,41.345,-96.256,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Gilroy,Amazon Data Services,Amazon Web Services,approved,2025-11-21,CA,Gilroy,37.00578,-121.56828,49,medium,https://www.datacenterdynamics.com/en/news/amazon-data-services-gains-approval-for-data-center-on-56-acres-in-gilroy-california/
Amazon Web Services — Haymarket,Amazon Web Services,Amazon Web Services,operational,,VA,Haymarket,38.81206,-77.63638,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Hermiston,Amazon Data Services,Amazon Web Services,operational,,OR,Hermiston,45.84041,-119.28946,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Herndon,Amazon Web Services,Amazon Web Services,operational,,VA,Herndon,38.96955,-77.3861,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Hilliard,Amazon Web Services,Amazon Web Services,operational,,OH,Hilliard,40.0334,-83.15825,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Houston,Amazon Web Services,Amazon Web Services,operational,,TX,Houston,31.31773,-95.42268,,,"https://www.indeed.com/q-aws-data-center-l-houston,-tx-jobs.html"
Amazon Web Services — Katy,Amazon Web Services,Amazon Web Services,operational,,TX,Katy,29.78579,-95.8244,,,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php
Amazon Web Services — Lenexa,Amazon Web Services,Amazon Web Services,operational,,KS,Lenexa,38.95362,-94.73357,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Louisiana,Amazon Web Services (STACK Infrastructure),Amazon Web Services,announced,2026-02-23,LA,Shreveport,32.52515,-93.75018,,,https://www.opportunitylouisiana.gov/news/amazon-selects-louisiana-for-12-billion-data-center-campuses-in-major-u-s-expansion
Amazon Web Services — Madison County (Canton),Amazon Web Services,Amazon Web Services,under_construction,2024-01-25,MS,Canton,32.61264,-90.03675,650,medium,https://servercountry.org/data/projects/aws-madison-county-data-center-campus/
Amazon Web Services — Madison County (Ridgeland),Amazon Web Services,Amazon Web Services,under_construction,2024-01-25,MS,Ridgeland,32.42848,-90.13231,650,medium,https://baxtel.com/data-center/aws-madison-county-mega-site-campus
Amazon Web Services — Manassas,Amazon Web Services,Amazon Web Services,operational,,VA,Manassas,38.75095,-77.47527,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Manassas (Innovation Campus),Amazon Web Services,Amazon Web Services,operational,,VA,Manassas,38.75095,-77.47527,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Memphis,Amazon Web Services,Amazon Web Services,operational,,TN,Memphis,35.14953,-90.04898,,,https://mediajustice.org/wp-content/uploads/2025/09/MediaJustice-Data-Centers-Report.pdf
Amazon Web Services — Milpitas,Amazon Web Services,Amazon Web Services,operational,,CA,Milpitas,37.42827,-121.90662,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Minneapolis,Amazon Web Services,Amazon Web Services,operational,,MN,Minneapolis,44.97997,-93.26384,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Moses Lake,Amazon Web Services,Amazon Web Services,announced,,WA,Moses Lake,47.13014,-119.27808,,,https://www.aterio.io/insights/us-data-centers/wa
Amazon Web Services — Nashville,Amazon Web Services,Amazon Web Services,operational,,TN,Nashville,36.16589,-86.78444,,,https://mediajustice.org/wp-content/uploads/2025/09/MediaJustice-Data-Centers-Report.pdf
Amazon Web Services — New Albany,Amazon Web Services,Amazon Web Services,operational,2024-01-01,OH,New Albany,40.08117,-82.80879,,,https://baxtel.com/data-center/amazon-aws-pdx4-or-d9918df3
Amazon Web Services — New Carlisle,Amazon Web Services,Amazon Web Services,under_construction,2024-04-25,IN,New Carlisle,41.70032,-86.50946,,,https://www.southbendtribune.com/story/business/2024/04/25/amazon-plans-to-build-11-data-center-complex-near-new-carlisle/73450066007/
Amazon Web Services — Northern Virginia (Fadeley Lane),Amazon Web Services,Amazon Web Services,operational,,VA,Sterling,39.00622,-77.4286,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Northern Virginia (Import Plaza),Amazon Web Services,Amazon Web Services,operational,,VA,Ashburn,39.04372,-77.48749,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Northern Virginia (Interconnection Campus),Amazon Web Services,Amazon Web Services,operational,,VA,Ashburn,39.04372,-77.48749,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Northern Virginia (Leesburg),Amazon Web Services,Amazon Web Services,operational,2024-01-01,VA,Leesburg,39.11566,-77.5636,,,https://baxtel.com/data-center/northern-virginia
Amazon Web Services — Northern Virginia (Loudoun County Pkwy),Amazon Web Services,Amazon Web Services,operational,,VA,Ashburn,39.04372,-77.48749,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Northern Virginia (Reeds Farm Lane),Amazon Web Services,Amazon Web Services,under_construction,,VA,Aldie,38.97567,-77.64138,,,https://baxtel.com/data-center/northern-virginia
Amazon Web Services — Northern Virginia (Smith Campus),Amazon Web Services,Amazon Web Services,operational,,VA,Ashburn,39.04372,-77.48749,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Northern Virginia (Sterling — Dulles Summit),Amazon Web Services,Amazon Web Services,operational,,VA,Sterling,39.00622,-77.4286,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Northern Virginia (Wellington Road),Amazon Web Services,Amazon Web Services,operational,,VA,Manassas,38.75095,-77.47527,,,https://baxtel.com/data-center/northern-virginia
Amazon Web Services — Northern Virginia Hyperscale Campus,Amazon Web Services,Amazon Web Services,operational,2006-01-01,VA,Ashburn,39.04372,-77.48749,1500,high,https://aidatacenterindex.com/datacenters/amazon-ec2-virginia-hyperscale-campus.html
Amazon Web Services — Ohio (Beach Road),Amazon Web Services,Amazon Web Services,operational,,OH,Johnstown,40.7695,-83.82271,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Papillion,Amazon Web Services,Amazon Web Services,operational,,NE,Papillion,41.15444,-96.04224,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Pennsylvania AI Innovation Campus,Amazon Web Services,Amazon Web Services,under_construction,2025-01-01,PA,Falls Township,40.16866,-74.7915,,,https://aidatacenterindex.com/datacenters/amazon-ec2-virginia-hyperscale-campus.html
Amazon Web Services — Quincy,Amazon Web Services,Amazon Web Services,operational,,WA,Quincy,47.2343,-119.85255,,,https://dor.wa.gov/sites/default/files/2025-12/2025DataCntrWrkgrpPrelimReport.pdf
Amazon Web Services — Sacramento,Amazon Web Services,Amazon Web Services,operational,,CA,Sacramento,38.44932,-121.34424,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — San Antonio,Amazon Data Services,Amazon Web Services,under_construction,2026-03-18,TX,San Antonio,29.42412,-98.49363,,,https://www.datacenterdynamics.com/en/news/aws-files-to-develop-data-centers-in-san-antonio-texas/
Amazon Web Services — San Jose,Amazon Web Services,Amazon Web Services,operational,,CA,San Jose,37.33939,-121.89496,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Santa Clara,Amazon Web Services,Amazon Web Services,operational,2020-01-09,CA,Santa Clara,37.23249,-121.69627,,,https://www.datacenterknowledge.com/hyperscalers/aws-buys-silicon-valley-site-previously-slated-to-become-data-center-report
Amazon Web Services — South Bend,Amazon Web Services,Amazon Web Services,under_construction,,IN,South Bend,41.68338,-86.25001,,,https://www.southbendtribune.com/story/business/2024/04/25/amazon-plans-to-build-11-data-center-complex-near-new-carlisle/73450066007/
Amazon Web Services — Sterling,Amazon Web Services,Amazon Web Services,operational,,VA,Sterling,39.00622,-77.4286,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Tracy,Amazon Web Services,Amazon Web Services,operational,,CA,Tracy,37.73987,-121.42618,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Umatilla,Amazon Data Services,Amazon Web Services,operational,,OR,Umatilla,45.5919,-118.73683,,,https://www.datacenters.com/providers/amazon-aws/locations/united-states
Amazon Web Services — Warrenton,Amazon Data Services,Amazon Web Services,approved,2024-04-19,VA,Warrenton,38.71345,-77.79527,,,https://www.fauquiernow.com/news/warrenton-town-staff-approves-site-plan-for-220-000-square-foot-amazon-data-center-project/article_13b53e3e-fe67-11ee-81ce-b361084ba5ae.html
Amazon Web Services — Wenatchee,Amazon Web Services,Amazon Web Services,operational,,WA,Wenatchee,47.42346,-120.31035,,,https://www.aterio.io/insights/us-data-centers/wa
Ameresco & CyrusOne NAS Lemoore,Ameresco (CyrusOne JV),CyrusOne,announced,2025-09-09,CA,Lemoore,36.30078,-119.78291,100,medium,https://ir.ameresco.com/news-events/press-releases/detail/715/ameresco-and-u-s-navy-partner-to-build-ai-optimized-data
Apple Maiden,Apple,Apple,operational,Jun-10,NC,Maiden,35.57569,-81.21175,200,medium,https://aidatacenterindex.com/datacenters/apple-maiden-north-carolina-data-center.html
Apple Mesa,Apple,Apple,operational,Mar-17,AZ,Mesa,33.42227,-111.82264,50,medium,https://www.datacentermap.com/c/apple/
Apple Newark,Apple,Apple,operational,Feb-06,CA,Newark,37.52966,-122.04024,17,medium,https://www.datacenterdynamics.com/en/news/t5-data-centers-acquires-former-apple-data-center-san-jose/
Apple Prineville,Apple,Apple,operational,May-12,OR,Prineville,44.29985,-120.83447,120,low,https://aidatacenterindex.com/datacenters/apple-prineville-oregon-data-center.html
Apple Reno,Apple,Apple,operational,Dec-12,NV,Sparks,39.53491,-119.75269,100,medium,https://baxtel.com/data-center/apple-reno
Apple Valley Technology Park,Oppidan,Connect Data Centers,rejected,2026-03-26,MN,Apple Valley,44.73191,-93.21772,250-300,low,https://www.datacenterdynamics.com/en/news/oppidan-data-center-outside-minneapolis-rejected/
Apple Waukee,Apple,Apple,operational,Oct-24,IA,Waukee,41.61166,-93.88523,200,low,https://www.datacenterdynamics.com/en/news/apple-launches-data-center-in-waukee-iowa/
Applied Digital Adair County,Applied Digital,Applied Digital,announced,2024-04-12,IA,Greenfield,41.30527,-94.46135,200,medium,https://www.datacenterdynamics.com/en/news/applied-digital-faces-opposition-to-planned-data-center-in-adair-county-iowa/
Applied Digital Delta Forge 1,Applied Digital,Applied Digital,under_construction,2026-01-22,LA,Boyce,31.39046,-92.66931,430,medium,https://ir.applieddigital.com/news-events/press-releases/detail/144/applied-digital-breaks-ground-on-delta-forge-1-a-430-mw-ai
Applied Digital Garden City TX,Applied Digital,Marathon Digital,operational,,TX,Garden City,31.86402,-101.48123,200,medium,https://ir.applieddigital.com/sec-filings/all-sec-filings/content/0001144879-25-000076/0001144879-25-000076.pdf
Applied Digital Jamestown,Applied Digital,Applied Digital,operational,,ND,Jamestown,46.91054,-98.70844,100,low,https://ir.applieddigital.com/sec-filings/all-sec-filings/content/0001144879-25-000076/0001144879-25-000076.pdf
Applied Digital Polaris Forge 1,Applied Digital,Applied Digital,under_construction,2025-08-18,ND,Ellendale,46.00275,-98.52705,400,medium,https://ir.applieddigital.com/news-events/press-releases/detail/127/applied-digital-to-break-ground-on-3-billion-polaris-forge
Applied Digital Polaris Forge 2,Applied Digital,Applied Digital,under_construction,2025-08-18,ND,Harwood,46.97941,-96.88064,280,medium,https://ir.applieddigital.com/news-events/press-releases/detail/127/applied-digital-to-break-ground-on-3-billion-polaris-forge
AT&T Allen TX,AT&T,AT&T,operational,,TX,Allen,33.10317,-96.67055,,none,https://www.datacenters.com/providers/at-t/locations/united-states
AT&T Ashburn VA,AT&T,AT&T,operational,,VA,Ashburn,39.04372,-77.48749,,none,https://www.datacenters.com/providers/at-t/locations/united-states
AT&T Boston Watertown MA,AT&T,AT&T,operational,,MA,Watertown,42.37093,-71.18283,,none,https://www.datacenters.com/providers/at-t/locations/united-states
AT&T Dallas Webb Chapel TX,AT&T,AT&T,operational,,TX,Dallas,32.76663,-96.77787,,none,https://www.datacenters.com/providers/at-t/locations/united-states
AT&T Hawthorne CA,AT&T,AT&T,operational,,CA,Hawthorne,33.9164,-118.35257,,none,https://www.datacenters.com/providers/at-t/locations/united-states
AT&T Irvine CA,AT&T,AT&T,operational,,CA,Irvine,33.66946,-117.82311,,none,https://www.datacenters.com/providers/at-t/locations/united-states
AT&T Kings Mountain NC,AT&T,AT&T,operational,,NC,Kings Mountain,35.24513,-81.34119,,none,https://baxtel.com/data-center/at-t-kings-mountain
AT&T Lisle IL,AT&T,AT&T,operational,,IL,Lisle,41.80114,-88.07479,,none,https://www.datacenters.com/providers/at-t/locations/united-states
AT&T Lithia Springs GA,AT&T,AT&T,operational,,GA,Lithia Springs,33.794,-84.66049,,none,https://www.datacenters.com/providers/at-t/locations/united-states
AT&T Lynnwood WA,AT&T,AT&T,operational,,WA,Lynnwood,47.82093,-122.31513,,none,https://www.datacenters.com/providers/at-t/locations/united-states
AT&T Miami FL,AT&T,AT&T,operational,,FL,Miami,25.77427,-80.19366,,none,https://www.datacenters.com/providers/at-t/locations/united-states
AT&T Midtown Atlanta GA,AT&T,AT&T,operational,,GA,Atlanta,33.749,-84.38798,,none,https://www.databank.com/solutions/interconnection-marketplace/att-business/
AT&T New York NYC,AT&T,AT&T,operational,,NY,New York,40.77427,-73.96981,,none,https://www.datacenters.com/providers/at-t/locations/united-states
AT&T Oak Brook IL,AT&T,AT&T,operational,,IL,Oak Brook,41.83281,-87.92895,,none,https://www.datacenters.com/providers/at-t/locations/united-states
AT&T Orlando FL,AT&T,AT&T,operational,,FL,Orlando,28.53834,-81.37924,,none,https://www.datacenters.com/providers/at-t/locations/united-states
AT&T Phoenix Mesa AZ,AT&T,AT&T,operational,,AZ,Mesa,33.42227,-111.82264,,none,https://www.datacenters.com/providers/at-t/locations/united-states
AT&T Piscataway NJ,AT&T,AT&T,operational,,NJ,Piscataway,40.49927,-74.39904,,none,https://www.datacenters.com/providers/at-t/locations/united-states
AT&T Redwood City CA,AT&T,AT&T,operational,,CA,Redwood City,37.48522,-122.23635,,none,https://www.datacenters.com/providers/at-t/locations/united-states
AT&T San Diego CA,AT&T,AT&T,operational,,CA,San Diego,33.0282,-116.77021,,none,https://www.datacenters.com/providers/at-t/locations/united-states
AT&T San Jose CA,AT&T,AT&T,operational,,CA,San Jose,37.33939,-121.89496,,none,https://www.datacenters.com/providers/at-t/locations/united-states
AT&T Secaucus NJ,AT&T,AT&T,operational,,NJ,Secaucus,40.78955,-74.05653,,none,https://www.datacenters.com/providers/at-t/locations/united-states
AT&T Waco TX,AT&T,AT&T,operational,,TX,Waco,31.54933,-97.14667,,none,https://www.databank.com/solutions/interconnection-marketplace/att-business/
Atlas Agro Richland,Atlas Agro,Atlas Agro,announced,2025-10-20,WA,Richland,46.28569,-119.28446,320,medium,https://washingtonstatestandard.com/2025/10/30/plan-for-1-5b-fertilizer-plant-in-central-wa-still-alive-despite-loss-of-federal-funds/
Atlas Agro Richland Campus,Atlas Agro,Atlas Agro,announced,2025-10-20,WA,Richland,46.28569,-119.28446,320,medium,https://www.datacenterdynamics.com/en/news/six-building-data-center-campus-proposed-in-washington-by-fertilizer-company/
Atomic Data Dallas,Atomic Data,Atomic Data,operational,,TX,Dallas,32.76663,-96.77787,24,low,https://www.atomicdata.com/atomic-data-comprehensive-data-center-solutions/
Atomic Data Minneapolis Central,Atomic Data,Atomic Data,operational,,MN,Minneapolis,44.97997,-93.26384,,,low|https://www.atomicdata.com/infrastructure/
Atomic Data Minneapolis East,Atomic Data,Atomic Data,operational,,MN,Minneapolis,44.97997,-93.26384,,,low|https://www.atomicdata.com/infrastructure/
AVAIO Digital - Carmel Church Data Hub,AVAIO Digital,AVAIO Digital,announced,2024-03-21,VA,Ruther Glen,37.92875,-77.45582,300,medium,https://co.caroline.va.us/AgendaCenter/ViewFile/Item/6347?fileID=10347
AVAIO Digital - Farmville Data Hub,AVAIO Digital,AVAIO Digital,announced,2025-04-22,VA,Farmville,37.3021,-78.39194,300,medium,https://www.datacenterdynamics.com/en/news/tecfusions-acquires-73-acres-in-clarksville-virginia-for-300mw-data-center-expansion/
AVAIO Digital - Hercules Campus,AVAIO Digital,AVAIO Digital,announced,2026-01-12,VA,Appomattox,37.37229,-78.81212,300,high,https://www.avaiodigital.com/projects
AVAIO Digital - Ladysmith Campus,AVAIO Digital,AVAIO Digital,announced,2025-06-03,VA,Ladysmith,38.01764,-77.51526,unresearchable,none,https://www.datacentermap.com/usa/virginia/richmond/avaio-ladysmith-campus/
AVAIO Digital - Leo Campus,AVAIO Digital,AVAIO Digital,announced,2026-01-12,AR,Little Rock,34.74648,-92.28959,1000,high,https://www.prnewswire.com/news-releases/avaio-digital-announces-new-large-scale-ai-ready-data-center-and-power-campus-in-little-rock-arkansas-302658354.html
AVAIO Digital - Perseus Campus,AVAIO Digital,AVAIO Digital,permitting,2025-12-09,CA,Pittsburg,38.02798,-121.88468,99,high,https://www.prnewswire.com/news-releases/avaio-digital-marks-major-milestone-as-cec-approves-99mw-for-bay-area-data-center-project-perseus-302636094.html
AVAIO Digital - Taurus Campus,AVAIO Digital,AVAIO Digital,under_construction,2025-08-19,MS,Brandon,32.2732,-89.98592,1000,high,https://mississippi.org/news/avaio-digital-to-locate-6-billion-data-center-campus-in-rankin-county/
