lab_name,model_name,release_date,context_window_tokens,input_cost_usd_per_1m,output_cost_usd_per_1m,throughput_tokens_per_sec,swe_bench_verified_pct,mmlu_pct,weights,status,source_url,notes
OpenAI,gpt-4-turbo-preview,2023-11-06,128000,10,30,30,N/A,86.5,closed,deprecated,https://openai.com/blog/new-models-and-developer-products-announced-at-devday,Preview release at DevDay 2023. First GPT-4 with 128K context. Knowledge cutoff April 2023. Included vision capabilities.
Moonshot AI,Kimi (Original),2023-11-16,128000,N/A,N/A,25,N/A,N/A,closed,deprecated,https://www.moonshot.ai/,"First commercial AI model with 128K context window. Founded March 2023. Released October 2023 for closed beta, general public November 16, 2023. Focus on Chinese-language processing and long documents. Moonshot AI founded by Yang Zhilin (Tsinghua)."
Anthropic,Claude 2.1,2023-11-21,200000,8,24,N/A,N/A,N/A,closed,retired,https://artificialanalysis.ai/models/claude-21,"Doubled context to 200K tokens. Reduced hallucination rate. Tool use support added. Stable up to ~200K tokens. Knowledge cutoff January 1, 2023. Max output ~4K tokens."
DeepSeek,DeepSeek-LLM-67B,2023-11-29,4096,N/A,N/A,N/A,N/A,71.3,open,deprecated,https://github.com/deepseek-ai/DeepSeek-LLM,"Flagship 67B parameter model. Outperformed LLaMA-2 70B in reasoning, coding, math, and Chinese comprehension. MMLU: 71.3% base. GSM8K: 84.1% (chat). HumanEval: 73.8% (chat). BBH: 71.7% (chat). Major milestone establishing DeepSeek as a serious Chinese AI lab."
DeepSeek,DeepSeek-LLM-7B,2023-11-29,4096,N/A,N/A,N/A,N/A,48.2,open,deprecated,https://github.com/deepseek-ai/DeepSeek-LLM,"General-purpose LLM. 7B parameters. Trained on 2T tokens. Llama-like architecture with Pre-norm Transformer, RoPE, GQA. MMLU base: 48.2%, chat: 49.4%. GSM8K: 62.6% (chat). First general-purpose model from DeepSeek."
Alibaba,Qwen-1.8B,2023-11-30,32768,N/A,N/A,N/A,N/A,45.3,open,deprecated,https://huggingface.co/Qwen/Qwen-1_8B,1.8B parameters. 2.2T training tokens. Efficient small model. BF16: 4.23GB GPU memory. ```
Alibaba,Qwen-72B,2023-11-30,32768,N/A,N/A,N/A,N/A,77.4,open,deprecated,https://huggingface.co/Qwen/Qwen-72B,72B parameters. 3.0T training tokens. 64 layers. System prompt enhancement. 32K context length. ```
Mistral AI,Mistral Medium,2023-12-11,32000,2.5,7.5,N/A,N/A,N/A,closed,retired,https://docs.mistral.ai/models/overview,"API ID: mistral-medium-2312. Original Mistral Medium model. Mid-tier enterprise model. Retired June 16, 2025."
Mistral AI,Mixtral 8x7B,2023-12-11,32768,0.5,1.5,N/A,N/A,70.6,open,active,https://simple.wikipedia.org/wiki/Mistral_AI,"46.7B total parameters (8 experts, 7B each). Sparse mixture-of-experts model. Apache 2.0 license. Outperformed GPT-3.5 on benchmarks. Released via torrent."
Google DeepMind,Gemini 1.0 Nano,2023-12-13,4000,N/A,N/A,N/A,N/A,N/A,closed,deprecated,https://deepmind.google/technologies/gemini/,On-device model for Android smartphones. Released December 2023. Two variants: Nano-1 (text-only) and Nano-2 (multimodal). ~4K token context. Runs locally on Pixel and Samsung Galaxy devices. Not an API model �?? deployed via Android AICore.
Google DeepMind,Gemini 1.0 Pro,2023-12-13,32000,0.5,1.5,N/A,N/A,71.8,closed,retired,https://deepmind.google/technologies/gemini/,"First Gemini generation. Released December 13, 2023. 32K token context. MMLU 5-shot: 71.8%. Multimodal (text, image, audio). Retired February 18, 2025. Part of Gemini 1.0 announcement with Ultra and Nano. Pricing from early 2024: $0.50/1M input, $1.50/1M output. Source: https://docsbot.ai/models/compare/gemini-1-0-ultra/gemini-1-0-pro"
Mistral AI,Mistral Embed,2024-01-01,8000,0.1,0,N/A,N/A,N/A,closed,active,https://mistral.ai/,"Semantic text representation model for embeddings, search, and comparison. No output tokens (embedding model)."
DeepSeek,DeepSeekMoE-16B,2024-01-11,4096,N/A,N/A,N/A,N/A,45,open,deprecated,https://huggingface.co/deepseek-ai/DeepSeekMoE-16B,"First MoE model. 16B total parameters with 2.8B active per token. Early MoE variant with shared and routed experts. MMLU: 45.0%. Paper: ""Towards Ultimate Expert Specialization in Mixture-of-Experts Language Models"" (arXiv:2401.06066, Jan 11, 2024)."
MiniMax,MiniMax-abab6,2024-01-15,8192,N/A,N/A,N/A,N/A,N/A,closed,deprecated,https://baike.baidu.com/en/item/MiniMax%20Open%20Platform/1419742,"First MoE architecture model from MiniMax. ""Fully released"" Jan 2024 on Open Platform. Used in WPS AI product for text generation and summarization."
Zhipu AI,GLM-4 (API),2024-01-16,128000,N/A,N/A,N/A,N/A,83.3,closed,deprecated,https://bigmodel.cn,"First GLM-4 generation API model. 128K context. Multimodal capabilities (text, image, code). January 2024 launch. Improved to GLM-4(0520) and GLM-4 Air(0605). MMLU progression per ChatGLM paper: ~83.3%."
NVIDIA,Nemotron-4 15B,2024-02-01,N/A,N/A,N/A,N/A,N/A,N/A,open,active,https://arxiv.org/abs/2402.16819,"Multilingual LLM trained to 8T tokens. Released February 2024. Dense transformer. Minitron-4B pruned variant released July-September 2024. Paper: ""Nemotron-4 15B Technical Report"" (NVIDIA, 2024). Source: https://www.interconnects.ai/p/why-nvidia-builds-open-models-with"
Alibaba,Qwen1.5-0.5B,2024-02-04,8192,N/A,N/A,N/A,N/A,42,open,deprecated,https://huggingface.co/Qwen/Qwen1.5-0.5B,Requires under 2GB memory for inference. Strong edge deployment candidate. Apache 2.0. ```
Alibaba,Qwen1.5-1.8B,2024-02-04,8192,N/A,N/A,N/A,N/A,50,open,deprecated,https://huggingface.co/Qwen/Qwen1.5-1.8B,Improved over Qwen-1.8B with better alignment and multilingual support. ```
Alibaba,Qwen1.5-110B,2024-02-04,32768,N/A,N/A,N/A,N/A,73,open,deprecated,https://huggingface.co/Qwen/Qwen1.5-110B,Largest Qwen1.5 model. 32K context. MMLU-Pro: 52.1. ```
Alibaba,Qwen1.5-14B,2024-02-04,8192,N/A,N/A,N/A,N/A,68,open,deprecated,https://huggingface.co/Qwen/Qwen1.5-14B,MMLU 5-shot approximately 68%. DROP: 75.6. ```
Alibaba,Qwen1.5-32B,2024-02-04,32768,N/A,N/A,N/A,N/A,74,open,deprecated,https://huggingface.co/Qwen/Qwen1.5-32B,32K context. HumanEval: 78.1. ```
Alibaba,Qwen1.5-4B,2024-02-04,8192,N/A,N/A,N/A,N/A,58,open,deprecated,https://huggingface.co/Qwen/Qwen1.5-4B,New size introduced in Qwen1.5. ```
Alibaba,Qwen1.5-72B,2024-02-04,32768,N/A,N/A,N/A,N/A,80.5,open,deprecated,https://huggingface.co/Qwen/Qwen1.5-72B,32K context. IFEval: 91.2. Apache 2.0. ```
Alibaba,Qwen1.5-7B,2024-02-04,8192,N/A,N/A,N/A,N/A,62,open,deprecated,https://huggingface.co/Qwen/Qwen1.5-7B,Context window: 8K for this size variant. BBH: 70.5. ```
